Year,LGA,Registered_Voters,PDP_Votes,APC_Votes,LP_Votes,Average_Age,Unemployment_Rate,Education_High_Pct,Urban_Pct,Sentiment_PDP,Sentiment_APC,Sentiment_LP
2019,Aba North,56368,15002,14031,0,35.1,0.27,0.61,0.31,0.08,-0.05,0.0
2023,Aba North,61436,7815,17610,27398,42.4,0.14,0.63,0.6,-0.47,0.28,0.74
2019,Aba South,74722,9888,12610,0,39.7,0.15,0.42,0.47,-0.44,-0.19,0.0
2023,Aba South,63095,12740,19532,27728,44.6,0.31,0.74,0.86,-0.02,0.27,0.39
2019,Arochukwu,55834,11080,15367,0,46.4,0.1,0.56,0.44,-0.49,0.19,0.0
2023,Arochukwu,82493,12489,7765,24452,41.3,0.12,0.71,0.87,-0.23,-0.39,0.15
2019,Bende,90383,19510,13651,0,40.5,0.2,0.65,0.72,-0.08,0.14,0.0
2023,Bende,47024,18574,17854,30228,41.2,0.33,0.41,0.44,-0.17,0.31,0.79
2019,Ikwuano,44925,10560,10631,0,42.4,0.3,0.61,0.87,-0.16,-0.08,0.0
2023,Ikwuano,73021,14592,20922,25545,41.6,0.22,0.74,0.45,-0.17,0.14,0.75
2019,Isiala Ngwa North,45404,15295,18643,0,36.8,0.17,0.68,0.77,0.32,0.1,0.0
2023,Isiala Ngwa North,45693,21343,10448,25956,39.0,0.29,0.46,0.45,0.05,0.0,0.55
2019,Isiala Ngwa South,54788,14991,9263,0,39.0,0.12,0.56,0.39,-0.06,-0.26,0.0
2023,Isiala Ngwa South,71978,10598,20861,28271,42.3,0.28,0.43,0.37,-0.38,0.35,0.78
2019,Isuikwuato,64207,19264,8937,0,41.1,0.13,0.43,0.31,0.15,-0.36,0.0
2023,Isuikwuato,49817,13223,8938,29145,38.0,0.15,0.5,0.68,0.07,-0.21,0.72
2019,Obi Ngwa,91693,15801,10392,0,43.8,0.15,0.63,0.68,-0.48,-0.01,0.0
2023,Obi Ngwa,75083,18663,21241,28891,49.5,0.11,0.74,0.37,0.09,0.14,0.75
2019,Ohafia,82973,16144,15836,0,45.0,0.15,0.64,0.78,0.37,0.18,0.0
2023,Ohafia,69331,15246,14346,24282,45.8,0.2,0.68,0.88,0.13,-0.29,0.65
2019,Osisioma Ngwa,46818,20730,9151,0,48.4,0.29,0.49,0.74,0.28,-0.32,0.0
2023,Osisioma Ngwa,85701,19385,12084,25382,38.7,0.32,0.44,0.67,0.41,-0.15,0.41
2019,Ugwunagbo,43555,13758,13581,0,48.9,0.22,0.66,0.39,-0.44,0.04,0.0
2023,Ugwunagbo,94680,18290,8895,22166,49.2,0.28,0.52,0.51,0.37,-0.35,0.14
2019,Ukwa East,53695,18953,12211,0,44.1,0.33,0.47,0.8,-0.25,-0.16,0.0
2023,Ukwa East,95735,23741,10467,27330,49.4,0.32,0.71,0.6,0.43,-0.24,0.4
2019,Ukwa West,93819,14780,15062,0,49.0,0.16,0.67,0.6,0.19,0.24,0.0
2023,Ukwa West,63494,16572,15980,28325,46.0,0.29,0.45,0.42,0.01,-0.22,0.38
2019,Umuahia North,89436,11385,17978,0,35.0,0.23,0.62,0.56,-0.25,0.36,0.0
2023,Umuahia North,46737,11408,13963,21130,42.7,0.26,0.6,0.88,-0.35,0.16,0.54
2019,Umuahia South,93688,12522,16152,0,45.0,0.19,0.42,0.47,-0.18,0.21,0.0
2023,Umuahia South,99747,15331,7844,29244,46.1,0.21,0.74,0.54,0.14,-0.28,0.57
2019,Umunneochi,79603,20689,9163,0,37.6,0.18,0.74,0.75,0.33,-0.38,0.0
2023,Umunneochi,62686,12530,17526,19598,45.7,0.15,0.6,0.76,-0.31,0.33,0.19
